age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity,convective_turnover_time,mass_loss_rate
864452002.9916844,132.60168405559082,2.371317681077934,2.7615644005768885,0.5608185764350683,3.457430997354697e-07,0.1076698555716375,2910.172024655716,12871635.031504476,5.91919087443163e-09
864452020.4222232,128.85072135884374,2.3713175894271386,1.425360917270363,0.5554930039518448,4.289027600437594e-08,0.1078306982719826,2788.9940094418957,12708139.21940507,4.853464060780469e-09
864452045.9726214,129.60761021096533,2.37131746799168,0.7684346680444278,0.5531799823102181,7.527304755600931e-09,0.1079529845745418,2813.517255339088,12599854.689030427,4.883891103849402e-09
864452082.4069879,137.5337961325656,2.3713172557398083,0.603504694697341,0.5524750364992586,3.868286124336431e-09,0.1080263235344675,3067.814044612632,12774554.295598036,6.9221446788483495e-09
864452121.0222634,151.16008962281947,2.371316886252816,0.5087387257616047,0.552094336810732,2.427992314879621e-09,0.1082821432183934,3519.6626257919006,13344434.130875375,1.2445124743997136e-08
864452159.8413446,169.29514307141676,2.371316160136953,0.448867418612896,0.5518749459494101,1.6663671492201894e-09,0.108959318022178,4149.111461044301,14325584.314495524,2.5424172557727036e-08
864452200.5053843,191.21740686857245,2.3713145361065235,0.4182218843698058,0.551756067767241,1.2160865855860398e-09,0.1102560442992605,4950.441765596093,15538820.5022557,5.499697334657213e-08
864452248.119656,215.9047365985309,2.371310356342296,0.3921581971433024,0.5516770870571339,9.400205428237783e-10,0.1122739149744508,5900.566594105177,16615352.768117877,1.192103386537947e-07
864452316.2257769,239.54455935638387,2.3712978437276533,0.3696943320707744,0.5516323041802906,7.636447207143347e-10,0.1146934828720315,6850.775802528301,17312621.02200233,2.3481379690624198e-07
864452428.0753269,248.8848212400573,2.3712650300588147,0.3886865305137564,0.5516829902545511,7.07413207934417e-10,0.1157501481252668,7231.838154623321,17301429.38297596,3.157288041824493e-07
864452537.9893895,240.45831576644184,2.371232842907604,0.4495030873560881,0.5518213082764613,7.578727285812075e-10,0.1147468805742829,6883.84324569852,17078075.795486446,2.615877955641076e-07
864452634.9954215,225.6946035934361,2.3712118880316653,0.534563005352159,0.5520320931354449,8.602751322344976e-10,0.113134877609326,6287.261060208668,16702779.055772204,1.7772758652555744e-07
864452722.1697623,209.589619869802,2.371199729907437,0.6175792716829139,0.5522908386461993,1.172595191380968e-09,0.1115836856219294,5652.708241318657,16252128.966587162,1.1183468656401902e-07
864452826.5034717,193.13952428779444,2.3711909538965914,0.6720664186769965,0.5525401752292504,1.717237864211749e-09,0.1102471296768065,5021.128789043021,15596169.222525133,6.68345019399347e-08
864453092.4149216,186.9229526048325,2.371177393071297,0.6312555475609993,0.5524417433706296,1.6505051616741195e-09,0.1098435299304366,4789.811730487083,15429807.841871155,4.92343007684098e-08
864453544.06946,186.8212034230847,2.371151792207208,0.669578715232809,0.5526038664318775,1.8038423997581446e-09,0.1098170206841008,4785.564613400855,15269533.902759586,5.3364171549512365e-08
864453877.4505876,175.03953156856417,2.3711375098280763,0.7273727714457666,0.5529223224450375,2.588421754398234e-09,0.109091969221597,4354.346961802316,14705047.549133273,3.5283841598624474e-08
864454372.472979,165.82451964636994,2.3711234976115945,0.7550325333907633,0.553153926818255,3.2578185099056795e-09,0.10863767343475,4027.347608856562,14233703.111705678,2.4708709253080845e-08
864455014.0615916,158.3214656073965,2.371109887491288,0.7912654434636303,0.5534550125034259,4.215891175040302e-09,0.1083268333927101,3763.6529070788256,13840328.740611358,1.840577167031605e-08
864455619.4077301,151.1053669905392,2.371100415547381,0.8313966157286289,0.5537908388445689,5.4156065544741966e-09,0.1080978133691043,3519.373487408528,13479145.554723931,1.3674635006672224e-08
864456305.4988286,144.50468196875215,2.3710924010312766,0.8615371293736988,0.554109294857699,6.9651139816370526e-09,0.1079395748600953,3297.2205387574127,13176528.602839084,1.028143388387176e-08
864457061.4196851,138.35780420419096,2.371085731509929,0.8973995109519469,0.5544740717455193,8.78390114417368e-09,0.1078421607841069,3094.6851758617568,12928683.359202964,7.780898641038552e-09
864457887.8004582,132.55594133142964,2.3710801988543366,0.9412739790522602,0.5549141200545783,1.1157147461355769e-08,0.107798791362813,2909.037177834673,12725879.156441277,5.9163840709333215e-09
864458798.5974461,127.07518334003647,2.371075550898999,0.9845748539818628,0.5553540759740601,1.4810455689613786e-08,0.1077952942932008,2734.059424994627,12562282.96642236,4.515526102045598e-09
864459801.1841674,121.89587362788596,2.3710716403005434,1.0193506827972958,0.5558287465649338,1.8425424057894395e-08,0.1078315283816796,2572.6629439668613,12430880.932365078,3.456372606292557e-09
864460898.5444119,116.97660453610536,2.3710683558160044,1.0616023216591215,0.5563497264817759,2.3880704234736943e-08,0.1079032071013566,2423.2102984393696,12320715.656273782,2.657295481351416e-09
864462113.6022247,112.31648426316212,2.371065556569201,1.0908473020092575,0.5568822837300919,2.9800249311151064e-08,0.1080033059721748,2283.6283265952256,12228668.277808877,2.0480984134725424e-09
864463466.340727,107.96285286354818,2.371063148460525,1.124993861433673,0.5574843049673246,3.656077507258661e-08,0.1081287226307523,2156.4963518253453,12150596.972576682,1.5885328220511282e-09
864465066.2412735,104.05242200672365,2.3710609277150327,1.1691118777632603,0.5580863262045443,4.6396047138682434e-08,0.108262977586416,2042.5090478230936,12086527.621506443,1.2512294473185806e-09
864467353.2269492,101.19439824886692,2.3710583875680817,1.1936451380371866,0.5585957287898861,5.4163092522115896e-08,0.1083765078320977,1960.9166596486205,12053707.325555513,1.034479539485071e-09
864472559.1214911,105.70709951658203,2.371052690371048,1.1428049860432996,0.5580400168785841,4.011415223255707e-08,0.1081868798509503,2091.4484826392986,12215338.032554412,1.2869033513107558e-09
864476167.5687188,113.62703691081045,2.3710466551684184,1.0569612009210911,0.5571138303598031,2.59608810642627e-08,0.1079371943764184,2323.4652855908885,12342920.151454927,2.0598451606009004e-09
864479345.9017164,121.4753567701039,2.371038281272763,1.0021224169173988,0.5564539224651454,1.7992282623707533e-08,0.1077872816259452,2561.34149770376,12503433.83179967,3.1635187130438684e-09
864483020.8498665,129.6045304369173,2.371023427445065,0.9440851232523392,0.5559213652168173,1.2300906946964616e-08,0.1077248091995486,2814.617177601911,12711099.680511808,4.7916736281213435e-09
864487495.012947,137.93570568585972,2.37099639726126,0.8986184227184143,0.5555393132777757,8.813612068164481e-09,0.1077548995750641,3082.6085597262336,12976152.358269349,7.165811371994705e-09
864491449.395442,144.91221154942872,2.370962295533341,0.8543404805269543,0.5552904006508703,6.509567343035196e-09,0.1078491297647474,3312.080658052738,13241406.181968192,9.912299339769376e-09
864494787.7730339,150.60115021198868,2.3709241385540416,0.8195250083082398,0.5551456840073073,5.158934699124425e-09,0.1079711782526205,3502.9200551167824,13491735.816769632,1.2747132968460431e-08
864497711.4713157,155.38112359949102,2.3708823500834213,0.8008277971420972,0.5550762200184067,4.397468286844255e-09,0.1081027920343244,3665.222338261009,13721686.733611228,1.5610847019339358e-08
864500335.8505272,159.42585868164355,2.370837338153198,0.7825649413748024,0.5550356993582524,3.825966914104816e-09,0.1082346414236143,3804.480809848987,13925343.45264897,1.8445710361457363e-08
864502732.6220332,162.88016181901492,2.370789518553418,0.7634427507702952,0.5550183333610098,3.3509979253672838e-09,0.1083620396682417,3925.1467984302217,14103282.775271948,2.120413251434673e-08
864504951.1235492,165.87863723586815,2.370739249761675,0.7453712019407004,0.5550183333609879,2.9757562172132382e-09,0.1084821696728893,4030.349749807799,14260003.08862258,2.386189374640572e-08
864507029.7838136,168.48509088930695,2.37068674601499,0.7414486125155648,0.5550530653554633,2.786244287171996e-09,0.1085945511732319,4123.139520864949,14396020.984140417,2.640676908766177e-08
864508996.5483152,170.8077215393389,2.370632174239048,0.7239501681713106,0.5550762200184343,2.502149772550975e-09,0.1086997060568553,4205.910116499587,14517354.14865423,2.8847954586149417e-08
864510862.0865868,172.87446776257224,2.370575979056928,0.7188098410774567,0.555122529344383,2.3491450737154547e-09,0.1087972843331824,4279.613123766198,14624930.933271833,3.116605087551204e-08
864512651.8303931,174.74839242171328,2.3705180078472488,0.7107816794403842,0.5551688386703283,2.2071593847024943e-09,0.1088881250535849,4346.327350411804,14721943.904272754,3.3390714959709326e-08
864514371.6118543,176.4192592995703,2.370458575240352,0.7041670222599706,0.5552151479962636,2.1420726851098964e-09,0.1089726530909929,4406.96923456477,14806759.9238716,3.5508898058161184e-08
864516027.9217025,177.94271137757474,2.3703979216458038,0.6978658386194894,0.555273034653682,2.0148270828678277e-09,0.1090510124851938,4462.010639528265,14883553.148473036,3.752576051602377e-08
864517629.877102,179.31236330046428,2.3703361084135577,0.6901029325853538,0.5553309213111094,1.9030782335296254e-09,0.1091241684025608,4512.800607646729,14950792.374575645,3.9450855509421745e-08
864519195.735215,180.58962185941556,2.3702727343427723,0.6868285038914566,0.5553888079685684,1.8723806392632328e-09,0.1091932197233558,4559.885669633262,15013036.96098435,4.1308694564532376e-08
864520708.820896,181.78828622457897,2.370208767220201,0.6753041642424339,0.555446694626004,1.721295644112224e-09,0.1092573251231173,4602.731911764726,15072415.538456231,4.30577154450163e-08
864522189.5537087,182.89655434831695,2.3701436023042786,0.6746159468269963,0.5555161586149862,1.703253037896247e-09,0.1093184146095531,4643.348913818968,15125373.879935822,4.4774647294699034e-08
864523635.1012546,183.91499453005855,2.3700775770671245,0.6674824326985961,0.5555740452724396,1.6337652705572826e-09,0.1093751112804053,4680.897067613049,15173331.71337672,4.640414311845412e-08
864525046.5231816,184.87149898934229,2.3700108623017755,0.6718394826094101,0.5556550865928381,1.6127125529241303e-09,0.1094286073864763,4716.068892257881,15218029.736207005,4.7971326592796813e-08
864526429.5038322,185.75660167264715,2.369943370733121,0.6601164785923177,0.5557129732502764,1.5275054637306103e-09,0.1094790475107627,4749.1484064388005,15258455.39161214,4.947810236136373e-08
864527787.6252127,186.59917694241383,2.3698750882629143,0.6650244145788735,0.5557853315721213,1.5535782517418734e-09,0.109526878026429,4780.196928846595,15296927.442109756,5.093039746316951e-08
864529119.770597,187.3852558662232,2.3698062125308974,0.6598699054170472,0.5558576898939107,1.4818060302400867e-09,0.1095720821232834,4809.546729279091,15332074.854763923,5.2330879944829656e-08
864530422.8481435,188.1255601812188,2.369737058590981,0.6577297738626272,0.5559213652170627,1.4812769062371312e-09,0.1096146713729854,4837.122084005683,15364941.177431764,5.367292804193134e-08
864531704.7842724,188.83358678976865,2.36966733426119,0.6526963433381675,0.5559850405402436,1.446180757837075e-09,0.1096552917543271,4863.270865879734,15435570.28524081,5.4972774110226064e-08
864532965.1575719,189.5037167400198,2.36959717192606,0.65264775620108,0.5560573988620529,1.394792606957825e-09,0.1096937857894346,4888.090024538997,15466425.920049615,5.6230971285672194e-08
864534199.9176828,190.13537713943597,2.3695269166911093,0.6478753848144426,0.556129757183807,1.3572644586571099e-09,0.1097301888672252,4911.564355336706,15495244.623457007,5.7439367608151707e-08
864535417.6008233,190.7383831779294,2.3694561887462333,0.6431550464234898,0.5561876438412433,1.3449686151076463e-09,0.1097650191465738,4933.998165055124,15522497.166194985,5.861339447799175e-08
864536622.1301883,191.3071683224947,2.3693848307200525,0.6433229852957372,0.5562600021630183,1.3325035916051595e-09,0.1097980052640601,4955.396355883242,15547749.957528813,5.974944642779329e-08
864537808.2115803,191.86321950857112,2.369313246344457,0.6409447193491531,0.5563265718190478,1.3180466682033003e-09,0.1098298805940845,4975.805185192197,15572799.728224829,6.085100340213068e-08
864538981.5742574,192.3866949202485,2.3692411517848835,0.6414437406949198,0.5564018244737102,1.290875564513385e-09,0.1098602742038759,4995.492907918637,15595700.836260565,6.19258037841397e-08
864540149.8693472,192.8935083608261,2.3691681254441925,0.6396336211670952,0.5564712884625919,1.2720967307116023e-09,0.1098897073306193,5014.587024542297,15617727.79633874,6.298050204498557e-08
864541307.8060472,193.38202142893752,2.369094546093921,0.6345521657897883,0.5565320694529304,1.2537163620453172e-09,0.1099178364227764,5032.856628148995,15638836.695484938,6.40065661219178e-08
864542450.3944591,193.8466090063525,2.369020789360271,0.6338499675918667,0.5566044277747317,1.2451352102205746e-09,0.1099442321257206,5050.264864652742,15658749.298882464,6.499395042351524e-08
864543573.3309133,194.28845006833515,2.368947212497319,0.6325059783867915,0.5566738917636261,1.2305441490869504e-09,0.1099693562303991,5066.790800415874,15677475.534388568,6.59472919228673e-08
864544679.8480288,194.7099607120168,2.368873679663112,0.6318043961362619,0.5567433557524823,1.2186939162892921e-09,0.1099933797925596,5082.641854715424,15695160.964248952,6.686919990393152e-08
864545774.9341178,195.11453856228331,2.3687999074478587,0.6269165965900788,0.5568128197414076,1.174749124707386e-09,0.110016445186227,5098.019342310599,15711834.813512752,6.777213706649268e-08
864546861.8392419,195.50761916102928,2.368725717377617,0.6219115816295767,0.556870706398805,1.1487704532972984e-09,0.1100388400009006,5112.953465787391,15727969.135106703,6.8656737130683e-08
864547931.8553624,195.8783854614025,2.368651755028068,0.6215081886552811,0.5569401703877477,1.155814868660354e-09,0.1100599962908118,5127.093952507689,15742943.185413558,6.950537230167287e-08
864548992.4583776,196.24516911882867,2.368577556494888,0.6215153933859795,0.5570096343765946,1.148621057338371e-09,0.1100815765231043,5140.743073216697,15758119.48398619,7.033244284503106e-08
864550044.1875522,196.5898139549364,2.3685031180067915,0.6258599524468869,0.5570906756970362,1.1420279606882836e-09,0.1101009545098641,5154.022131866486,15771741.084645586,7.114072196733388e-08
864551091.7816944,196.92265503944137,2.3684281321453606,0.6214347814374085,0.5571485623544714,1.1354341663360178e-09,0.1101194904840279,5166.916302943422,15784639.318763332,7.19352994036508e-08
864552136.2933732,197.24695146257096,2.3683525484832706,0.6211937538948737,0.5572180263433485,1.1285513600440222e-09,0.1101374338772737,5179.497011663453,15797213.410475582,7.271259131968693e-08
864553175.0022277,197.5564373100924,2.368276589935807,0.6210650770457635,0.5572874903322668,1.12417853769237e-09,0.1101543494113706,5191.516871447047,15809013.14679283,7.346475685409833e-08
864554207.2179064,197.86073952922345,2.368200339472164,0.6208998206141976,0.5573569543211687,1.1207593945470726e-09,0.1101707823487182,5203.15738839721,15820824.139934884,7.419537116857294e-08
864555232.8475598,198.15263712411183,2.368123830157936,0.6121758730547651,0.5574148409786086,1.1174959600869655e-09,0.1101865304675726,5214.475878031618,15831731.465080071,7.491893341242183e-08
864556246.6682376,198.4299323566746,2.3680474895796104,0.6123514323397969,0.5574843049674459,1.1144107855207683e-09,0.1102011917095925,5225.205569836679,15842099.138045872,7.56068196059865e-08
864557254.1082724,198.7075857606375,2.367970944238112,0.6128515723741454,0.557553768956412,1.1113345599193712e-09,0.1102157736957142,5235.651045594094,15852811.759785425,7.62795272540182e-08
864558259.3014171,198.97326656886895,2.3678938944679904,0.6130350137323265,0.557623232945279,1.108404768416264e-09,0.110229654681987,5245.911614564193,15862514.393424315,7.695165569955422e-08
864559270.2022011,199.23700041545095,2.3678157333155143,0.6084753490907862,0.5576926969341917,1.105508768642643e-09,0.1102433268004714,5256.06686166986,15872259.358935412,7.761558631470861e-08
864560280.273271,199.4857354127433,2.3677369841950133,0.6124180667052251,0.5577621609231398,1.1027902881080515e-09,0.1102558360173618,5265.607824640866,15881277.454437532,7.82490103183007e-08
864561289.9392074,199.7365001846921,2.367657631567579,0.6118798641901623,0.5578316249120572,1.100059836111579e-09,0.1102681510678799,5274.934202861443,15890710.078520086,7.887038977932375e-08
864562294.0034404,199.9701609033539,2.36757810739021,0.6112425442740153,0.5579010889009834,1.0975274102216396e-09,0.110279452541684,5283.855054219589,15899097.579589589,7.947021909631844e-08
864563288.402824,200.1730735840118,2.3674987661953906,0.6065059142336569,0.557970552889902,1.0953401477730146e-09,0.1102886551154874,5292.490489092518,15905207.201420767,8.005447480812084e-08
864564278.4993112,200.38674251163556,2.3674192175189592,0.6106889963760819,0.5580400168789015,1.093042235062135e-09,0.1102984729225207,5300.612968942111,15913079.633590266,8.059455779817854e-08
864565264.7333658,200.5938119548388,2.3673394411929567,0.6061370396723875,0.5581094808678012,1.0908235016176206e-09,0.1103077623956275,5308.469923125593,15920426.137588788,8.113113741158069e-08
864566243.0175577,200.80275299421157,2.367259793898937,0.6103740800561905,0.5581789448567169,1.0885912410090479e-09,0.1103167310107572,5315.837210336731,15928231.379384745,8.16470279648422e-08
864567214.464229,200.98773622479845,2.367180216072352,0.601895573036815,0.5582368315142284,1.0866248760850651e-09,0.1103243619582189,5322.864302645578,15934655.296016786,8.213247456513152e-08
864568177.6995454,201.1629822566566,2.367100857514449,0.6023741457694011,0.5583062955031435,1.084768809247698e-09,0.1103312707468222,5329.496447806542,15940703.314106612,8.259320130608977e-08
864569140.195165,201.33443118798945,2.367021121247531,0.6071210914588154,0.5583873368235484,1.0829585778168735e-09,0.11033782435562,5335.97558215204,15946588.086559638,8.304538160905182e-08
864570100.8144817,201.49219356189369,2.36694111927694,0.6027849198435566,0.5584452234810239,1.0812999396371532e-09,0.1103429464856615,5341.980661792718,15951793.407413805,8.346835517342055e-08
864571058.3170706,201.640084462436,2.3668609845472317,0.6029250558013259,0.5585146874699125,1.0797509399343667e-09,0.1103476351293301,5347.5740247030935,15956673.950413585,8.38661948844057e-08
864572010.9796064,201.7740149699645,2.3667808943496422,0.6076297392156998,0.5585957287903184,1.0783545036418875e-09,0.1103512055998281,5352.6293093409895,15961000.925541004,8.422768439198625e-08
